review_id,k,scale,theta,I2,tau2,entropy,kl_divergence,mutual_info,fisher_info,norm_entropy_index,n_modes,skewness,kurtosis,entropy_class
CD004406,6,ratio,0.1083,0,0,0.1859,2.9306,0.6365,100.97,0.045,2,-0.229,-1.483,Concentrated
CD004417,17,ratio,-3.5277,84.2,0.9622,1.82,0.3381,0.8037,96.16,0.3326,1,-0.478,-0.024,Moderate
CD004508,6,ratio,-0.062,66.6,0.1183,0.705,0.1259,0.4055,108.54,0.2874,2,0.389,-0.993,Concentrated
CD004661,12,ratio,-0.0422,0,0,0.8171,49.5702,1.1552,223.16,0.0426,2,0.32,-1.736,Concentrated
CD004667,16,ratio,-0.0926,25.1,0.0071,0.2284,8.3003,0.6048,795.85,0.1564,2,-2.322,13.781,Concentrated
CD004703,4,ratio,-0.5376,0,0,1.9861,1.7937,,2.01,0.1339,1,0.708,-1.036,Concentrated
CD004736,14,ratio,-1.1842,82.3,0.3747,1.6173,1.5782,0.9538,215.62,0.2094,3,-2.018,5.467,Concentrated
CD004762,5,difference,-0.326,79.3,0.036,0.5869,8.808,0.2911,1088.51,0.246,3,-6.561,75.797,Concentrated
CD004871,5,ratio,-0.4359,66.6,0.0768,0.4647,0.3196,0.2911,135.74,0.3772,1,-1.7,1.872,Moderate
CD004904,4,ratio,0.005,0,0,1.6684,6.0526,,8.08,0.1525,1,-2.578,7.776,Concentrated
CD004925,31,ratio,-1.0626,0,0,1.9854,51.3804,0.6305,32.76,0.0933,3,-0.519,2.485,Concentrated
CD004953,11,ratio,0.0023,32.7,0.0631,1.3365,5.5406,1.2945,101.78,0.1436,3,0.344,1.933,Concentrated
CD004992,4,ratio,-1.8427,8.7,0.038,1.2717,1.4895,,11.21,0.174,1,-0.179,-1.806,Concentrated
CD005133,39,ratio,-0.1025,7.4,0.0067,1.4586,81.6667,0.4659,528.46,0.1018,5,-2.427,22.298,Concentrated
CD005187,5,ratio,-0.3654,17.5,0.0045,-0.0453,1.5103,0.2911,256.72,0.2124,1,0.353,-1.229,Concentrated
CD005343,31,ratio,-0.5631,57.0,0.1491,1.8183,5.4324,0.547,391.26,0.1389,4,-2.584,9.852,Concentrated
CD005495,9,ratio,-0.1267,0,0,1.3795,10.6303,1.0027,23.77,0.139,2,-0.448,2.475,Concentrated
CD005566,28,ratio,-0.1776,0,0,1.5893,361.87,0.8286,467.11,0.0695,5,-0.045,3.336,Concentrated
CD005582,4,ratio,0.5325,0,0,1.948,2.2126,,2.49,0.1236,1,-1.779,1.447,Concentrated
CD005595,32,ratio,0.2041,0,0,1.9258,64.8031,0.4378,46.88,0.0878,2,-1.404,3.685,Concentrated
CD005951,7,ratio,-0.2514,34.4,0.0579,1.1645,2.6546,0.2121,85.1,0.2029,2,-1.613,3.736,Concentrated
CD006023,18,ratio,-1.2207,49.5,0.2555,1.4905,0.9719,0.5406,74.45,0.1071,2,-1.142,0.305,Concentrated
CD006027,4,ratio,-1.3969,71.2,0.3776,1.2723,0.3532,,33.14,0.3945,1,-1.338,0.768,Moderate
CD006124,6,ratio,0.0204,80.4,0.4487,1.2008,0.0761,0.6365,57.72,0.4301,1,-0.63,-0.685,Moderate
CD006140,8,ratio,-0.2352,85.4,0.0204,0.2521,4.3477,0.6931,4164.11,0.1463,3,-6.723,46.393,Concentrated
CD006182,4,ratio,0.8128,0,0,0.8408,9.0122,,52.94,0.2308,1,1.804,3.322,Concentrated
CD006185,78,ratio,0.5409,28.7,0.1663,1.6661,3.4649,0.3284,189.95,0.089,3,0.249,-0.464,Concentrated
CD006257,9,ratio,-0.0901,22.6,0.0216,1.7486,32.8057,0.6947,261.65,0.1395,4,0.075,30.873,Concentrated
CD006404,112,ratio,-0.0351,27.5,0.0422,1.601,18.0791,0.373,1032.77,0.0782,5,0.014,6.592,Concentrated
CD006475,27,ratio,-0.1499,32.4,0.0271,1.0202,7.8581,0.6211,520.68,0.1424,3,-0.116,2.64,Concentrated
CD006515,5,ratio,0.2932,0,0,1.959,3.1839,0.2911,3.18,0.1093,1,-0.256,-0.819,Concentrated
CD006536,43,ratio,-0.1616,0,0,1.9614,52.2129,0.4745,36.65,0.067,2,0.467,-0.753,Concentrated
CD006606,4,ratio,-0.0005,89.1,0.9385,1.5434,0.3184,,46.94,0.4956,1,0.398,-0.255,Moderate
CD006632,23,difference,-1.1693,62.5,0.4923,2.4201,8.6844,0.7656,90.57,0.2171,5,-2.2,21.626,Concentrated
CD006689,5,ratio,-0.4712,0,0,1.1367,5.2907,0.0138,20.77,0.1643,2,1.892,4.456,Concentrated
CD006712,3,difference,0.4058,0,0,1.0173,1.6995,,11.95,0.117,1,0,0,Concentrated
CD006714,3,ratio,-0.0006,0,0,-1.5113,47.8265,,8141.12,0.0,1,0,0,Concentrated
CD006742,4,ratio,-0.1679,0,0,1.1972,32.284,,44.91,0.1381,1,4.212,25.676,Concentrated
CD006839,3,ratio,-0.0639,0,0,-0.4292,1.1209,,181.29,0.0446,1,0,0,Concentrated
CD006913,29,ratio,-0.0594,70.7,0.0073,-0.2573,5.701,0.313,11347.49,0.1583,4,-10.493,146.277,Concentrated
CD006919,19,ratio,0.4066,26.8,0.12,1.4927,2.7042,0.5821,59.26,0.1505,2,0.569,0.209,Concentrated
CD006942,4,ratio,-0.0723,70.2,0.2096,0.8537,0.2096,,49.75,0.3752,1,-1.218,-0.491,Moderate
CD006982,4,ratio,-0.0584,43.5,0.2434,1.4099,0.4841,,14.04,0.3023,1,0.166,-1.508,Moderate
CD007024,18,ratio,0.1389,0,0,1.0491,59.1646,0.6176,175.94,0.079,3,-1.26,5.091,Concentrated
CD007026,7,ratio,-0.0555,0,0,1.4613,15.1346,0.6082,25.69,0.0805,4,2.563,12.688,Concentrated
CD007079,10,ratio,-0.224,55.9,0.0426,0.9926,6.8112,1.0549,434.5,0.167,3,-3.337,14.591,Concentrated
CD007130,26,ratio,0.0349,47.5,0.0035,-0.2336,4.4483,0.3484,8537.88,0.1535,4,3.276,17.854,Concentrated
CD007156,3,ratio,-1.1132,0,0,1.3565,5.9781,,10.73,0.1473,1,0,0,Concentrated
CD007310,7,ratio,0.292,0,0,1.7522,3.1284,0.2121,4.85,0.0296,1,1.082,0.26,Concentrated
CD007374,6,ratio,-0.1778,0,0,1.5827,3.359,0.4055,6.89,0.0697,1,0.691,0.244,Concentrated
CD007491,8,ratio,0.0489,41.2,0.0507,0.9508,2.016,0.6931,148.6,0.1864,2,-1.213,1.524,Concentrated
CD007569,6,ratio,0.0815,11.9,0.0031,0.0516,3.6422,0.6365,363.76,0.1404,2,0.806,-0.711,Concentrated
